Field Name	Description	Data Type	Length	Codes					
S140 	"14:0, Tetradecanoic acid (g)"	Numeric 	12.6	  					
S160 	"16:0, Hexadecanoic acid (g)"	Numeric 	12.6	  					
S180 	"18:0, Octadecanoic acid (g)"	Numeric 	12.6	  					
MFAT 	"Fatty acids, total monounsaturated (g) "	Numeric 	12.6	  					
M161 	"16:1, Hexadecenoic acid, undifferentiated(g)"	Numeric 	12.6	  					
M181 	"18:1, Octadecenoic acid, undifferentiated (g)"	Numeric 	12.6	  					
M201 	"20:1, Eicosenoic acid, undifferentiated (g)"	Numeric 	12.6	  					
M221 	"22:1, Docosenoic acid, undifferentiated (g)"	Numeric 	12.6	  					
PFAT 	"Fatty acids, total polyunsaturated (g) "	Numeric 	12.6	  					
P182 	"18:2, Octadecadienoic acid (g)"	Numeric 	12.6	  					
P183 	"18:3, Octadecatrienoic acid (g)"	Numeric 	12.6	  					
P184 	"18:4, Octadecatetraenoic acid (g)"	Numeric 	12.6	  					
P204 	"20:4, Eicosatetraenoic acid (g)"	Numeric 	12.6	  					
P205 	"20:5 n-3, Eicosapentaenoic acid [EPA] (g)"	Numeric 	12.6	  					
P225 	"22:5 n-3, Docosapentaenoic acid [DPA] (g)"	Numeric 	12.6	  					
P226 	"22:6 n-3, Docosahexaenoic acid [DHA] (g)"	Numeric 	12.6	  					
VITD 	Vitamin D (D2 + D3) (mcg)	Numeric 	12.6	  					
CHOLN 	"Choline, total (mg)"	Numeric 	12.6	  					
VITE_ADD 	Added Vitamin E (mg)	Numeric 	12.6	  					
B12_ADD 	Added Vitamin B-12 (mcg)	Numeric 	12.6	  					
F_TOTAL	Total intact fruits (whole or cut) and fruit juices (cup eq.)	Numeric 	12.6						  
F_CITMLB	"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.)"	Numeric 	12.6						  
F_OTHER	"Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)"	Numeric 	12.6						  
F_JUICE	"Fruit juices, citrus and non citrus (cup eq.)"	Numeric 	12.6						  
V_TOTAL	"Total dark green, red and orange, starchy, and other vegetables; excludes legumes (cup eq.)"	Numeric 	12.6						  
V_DRKGR	D ark green vegetables (cup eq.)	Numeric 	12.6						  
V_REDOR_TOTAL	Total red and orange vegetables (tomatoes and tomato products + other red and orange vegetables)(cup eq.)	Numeric 	12.6						  
V_REDOR_TOMATO	Tomatoes and tomato products (cup eq.)	Numeric 	12.6						  
V_REDOR_OTHER	"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)"	Numeric 	12.6						  
V_STARCHY_TOTAL	Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.)	Numeric 	12.6						  
V_STARCHY_POTATO	White potatoes (cup eq.)	Numeric 	12.6						  
V_STARCHY_OTHER	"Other starchy vegetables, excluding white potatoes (cup eq.)"	Numeric 	12.6						  
V_OTHER	Other vegetables not in the vegetable components listed above (cup eq.)	Numeric 	12.6						  
V_LEGUMES	Beans and peas (legumes) computed as vegetables (cup eq.)	Numeric 	12.6						  
G_TOTAL	Total whole and refined grains (oz. eq.)	Numeric 	12.6						  
G_WHOLE	"Grains defined as whole grains and contain the entire grain kernel ? the bran, germ, and endosperm (oz. eq.)"	Numeric 	12.6						  
G_REFINED	Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.)	Numeric 	12.6						  
PF_TOTAL	"Total meat, poultry, organ meat, cured meat, seafood, eggs, soy, and nuts and seeds; excludes legumes (oz. eq.)"	Numeric 	12.6						  
PF_MPS_TOTAL	"Total of meat, poultry, seafood, organ meat, and cured meat (oz. eq.)"	Numeric 	12.6						  
PF_MEAT	"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)"	Numeric 	12.6						  
PF_CUREDMEAT	"Frankfurters, sausages, corned beef, and luncheon meat that are made from beef, pork, or poultry (oz. eq.)"	Numeric 	12.6						  
PF_ORGAN	"Organ meat from beef, veal, pork, lamb, game, and poultry (oz. eq.)"	Numeric 	12.6						  
PF_POULT	"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)"	Numeric 	12.6						  
PF_SEAFD_HI	"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.)"	Numeric 	12.6						  
PF_SEAFD_LOW	"Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)"	Numeric 	12.6						  
PF_EGGS	"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)"	Numeric 	12.6						  
PF_SOY	"Soy products, excluding calcium fortified soy milk and immature soybeans (oz. eq.)"	Numeric 	12.6						  
PF_NUTSDS	"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"	Numeric 	12.6						  
PF_LEGUMES	Beans and Peas (legumes) computed as protein foods (oz. eq.)	Numeric 	12.6						  
D_TOTAL	"Total milk, yogurt, cheese, whey. For some foods, the total dairy values could be higher than sum of D_MILK, D_YOGURT, and D_CHEESE because Misc dairy component composed of whey which is not included in FPED as separate variable. (cup eq.)"	Numeric 	12.6						  
D_MILK	"Fluid milk, buttermilk, evaporated milk, dry milk, and calcium fortified soy milk (cup eq.)"	Numeric 	12.6						  
D_YOGURT	Yogurt (cup eq.)	Numeric 	12.6						  
D_CHEESE	Cheeses (cup eq.)	Numeric 	12.6						  
OILS	"Fats naturally present in nuts, seeds, seafood; unhydrogenated vegetable oils, except palm oil, palm kernel oil,  coconut oils; fat in avocado and olives above allowable amount; 50% of fat present in stick/tub margarines, margarine spreads (grams)"	Numeric 	12.6						
SOLID_FATS	"Fats naturally present in meat, poultry, eggs, dairy (lard, tallow, butter); hydrogenated/partially hydrogenated oils; shortening, palm, palm kernel, coconut oils; coconut meat, cocoa butter; 50% of fat in stick/tub margarines, margarine spreads (grams)"	Numeric 	12.6						
ADD_SUGARS	Foods defined as added sugars (tsp. eq.)	Numeric 	12.6						
A_DRINKS	Alcoholic beverages and alcohol (ethanol) added to foods after cooking (no. of drinks)	Numeric 	12.6						
FOODCOMP 	"This is an indicator which shows, per food, if the portion and/or nutrient data is complete or missing "	Numeric 	1	1=Data Complete; 2=Data Missing 					
FOOD_DESCRIPTION 	"Description of Food, from either the FNDDS FoodCode Description or, where applicable, the ModCode description "	Character 	255	Text 					
