#taxonomy	MCT.f.0138	MCT.f.0139	MCT.f.0141	MCT.f.0142	MCT.f.0143	MCT.f.0144	MCT.f.0145	MCT.f.0146	MCT.f.0147	MCT.f.0148	MCT.f.0149	MCT.f.0150	MCT.f.0151	MCT.f.0152	MCT.f.0153
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens	-0.146177982081404	-1.19848243495153	-0.230111624576225	-0.396476005731659	0.79015916233176	-1.05718953801828	-1.32032625221334	-1.71749358884924	-1.27004381417067	-1.38311826536632	-0.946290264869863	0.524103443852762	-0.760604687066348	-0.291116638844973	0.274246728766161
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA	-0.369321533395613	-0.802067162363288	-0.554351292761803	-0.514259041388043	0.761828655705534	-0.758696549462285	-1.70331850446945	-1.95865564566613	-1.20941919235423	-1.63443269364722	-0.632632706014821	0.556893266675753	-1.01191911534725	-0.335568401415807	0.49739028008037
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. TF06-26	-0.962385255398576	-1.55130380957428	-1.22644506412392	-1.34093761457251	0.0914097262231445	-1.89009866095339	-1.92646205578366	-2.97025655734461	-2.43319462397635	-1.78858337347448	-1.87582622349404	-0.312144580347857	-2.26468208384262	-1.02871558197575	-0.0559949581044163
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	1.07138624944807	-1.12052089348182	1.50900411116641	0.563299838082235	2.33974031449286	0.0268239512286755	0.478980422650096	-0.424725285740174	1.91579215661933	-0.689971084806371	-0.456742039551157	1.4796148888802	-1.57153490328268	-0.335568401415807	1.88368464120026
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;NA	-0.0556639745405716	-1.51356348159143	-0.453255175890435	-0.761119119319569	-0.336783632962576	-0.896846887943102	-0.977381501086511	-1.36081864491051	-1.64473726361208	-2.48173055403443	-2.01892706713471	-2.18394675724945	-2.68904630616414	-1.63485138554607	-1.58205126159947
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	1.4632599303527	-0.452691520906168	0.670674920761965	0.438845663608829	1.19376033700186	0.124804359588879	0.448443698790015	-0.0390628049281891	-0.864578706062502	-1.44027667920626	-0.506338980690529	0.0673450413570468	-1.34839135196847	-0.623250473867588	-0.88890408103952
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Gordonibacter;s__Gordonibacter pamelaeae	-1.60901242032363	-2.41150507479739	-2.20727431713564	-1.78277036685155	-0.931490740709269	-1.70777710415943	-0.386017014836508	-1.41211193929806	-1.40357520679519	-1.38311826536632	-0.946290264869863	0.418742928194936	-1.34839135196847	-0.984263819404918	-2.49834199347362
k__Bacteria;p__Bacteroidetes;NA;NA;NA;NA;NA	-0.556920147290412	-0.78404865686061	-0.620309260553601	-0.68415807818344	-1.02993081352252	-0.342536152237373	-0.333831261665938	-1.22105670253535	-2.65633817529056	-0.284505976698206	-0.473002560422938	-0.93118378875408	-1.01191911534725	-0.358557919640506	-0.88890408103952
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;NA;NA;NA	5.48435445188775	5.5622766896205	5.54200025365751	5.47978031305669	4.8341900540691	5.58620383035537	5.62935586526956	5.43057134294036	4.94793360172113	5.3715505820902	5.28377667493066	5.11821268248143	5.08132812607067	5.47264233630396	5.0337461500681
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;NA;NA	0.959427342077677	0.735777096883803	0.754556404742667	0.615124905946821	-0.254091917117463	0.60310679164931	0.891936202487418	0.790943558348954	0.364086710853805	0.639164862473571	0.406556162182487	0.556893266675753	-0.185240542162786	0.877454238430047	0.637152222455529
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;NA	7.25593972179381	7.39828599522431	7.23805033829187	7.11196083551325	6.83815188126764	7.35336696145462	7.30209471877895	7.17023800316488	6.68918846924069	6.8935167272781	6.87054030349339	6.82348152031677	7.00189683458075	7.23892007846971	6.76700726153336
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides barnesiae	-4.006907693122	-2.24445099013422	-2.79506098203776	-2.59370058306788	-3.70407946294905	-3.09407146527932	-3.71822152501171	-2.97025655734461	-3.63489278563054	-2.66405211082838	-2.79211695536819	-2.42471971783493	-2.58567038297198	-2.51032012289997	-2.89391472801812
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	4.80399934297774	4.9598126791179	4.94203183195459	4.42514874341984	3.80662472867488	4.79738394180622	4.74746782353741	4.71498705063122	4.21371523650757	4.2159207871413	4.23564111600864	3.82363717173842	4.10778409919515	4.54671685879792	3.92895519835892
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caecimuris	0.128258863620357	0.565878060088406	0.170212084031521	0.209659797838656	-0.13454676646768	0.451707145193941	0.203751811269602	0.388381209898751	-0.192484934700389	-0.213047012716061	-0.177157177331996	-0.679869360473174	-0.0133902852361273	-0.130773988769794	-0.88890408103952
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	6.25525031100244	6.36391797205777	6.30577697511326	6.08182026672766	6.53634450417531	6.90622514318487	6.39692386989553	6.34734502282838	6.32622291696689	6.25451784278741	6.03297751568122	5.96507711080232	5.87607067850607	5.23874368762263	5.62817617530709
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus	-0.0366157795698772	-0.0644682192325093	0.0841374752602777	-0.316433298058123	-0.371874952773846	-0.18535056871496	-0.268233979180125	-0.0938710414231842	-0.951590083052132	-1.5009013010227	-0.870304357891941	-0.679869360473174	-0.392879906941031	0.00737634971102345	-0.552431844418308
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprocola	-0.71107082711767	-0.635013077700122	-0.715619440357926	-0.935472506464346	-1.50685488561283	-0.791486372285276	-1.23331487522371	-0.801202856975086	-1.40357520679519	-1.70854066580094	-1.18267904293409	-1.77848164914128	-0.878387722722732	-1.07523559761065	-2.09287688536546
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprophilus	1.11705628628126	0.503805631446028	0.695367533352336	1.56518250029179	1.58922536177544	0.863562051400877	-0.148688828530342	0.731045416767885	0.434704278067759	0.145350584534117	0.143511394116092	-0.169043736707183	2.1047657686244	0.986187438566512	0.74033645869076
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides dorei	4.21160988436759	4.49888309871039	4.25176034506737	3.93059566806871	3.52140200983324	4.13528410435806	4.34389605774303	4.53468551105156	4.32606064668735	4.40292667370173	4.43760104254256	3.97514863124248	4.11374409980896	4.32851371061575	3.86984519287687
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii	0.797113351611258	0.920699435377815	0.742995582341591	0.683444149924298	0.256733706648528	0.824596082867493	0.663805109662169	0.980987161236818	0.339394098263434	0.226319647067784	0.406556162182487	0.418742928194936	0.300267273618914	0.571589846895076	-0.0134353436856204
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecichinchillae	0.269758425894056	0.463599210967987	0.515482031356263	-0.108793933279878	-0.192534024118029	0.329104823101609	0.121230787581598	0.074265880378814	-0.576896633610721	-0.303198109710359	-0.424993341236577	-0.392187288021393	-0.0133902852361273	-0.0944063445989189	-0.35827582997735
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis	-3.60144258501383	-3.42310598647587	-2.79506098203776	-3.56365959832669	-2.31778510182916	-2.58324584151333	-3.92877073569838	-2.7471130060304	-1.84540795907423	-4.02732449719103	-3.8907292440363	-1.77848164914128	-2.59416233551002	-3.42661085477412	-2.82725227144416
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii	0.733667129872295	0.891043225794927	0.893818472076174	0.615124905946821	0.0571206527445124	0.659346509972186	0.753417268351857	0.767413060938759	0.500662245859556	0.331680162725611	0.392857317824326	-0.312144580347857	0.133213188955748	0.543681058777999	0.104347691970763
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fluxus	-1.17369434906578	-1.12052089348182	-1.40876662091787	-1.03555596502133	-1.401494369955	-0.637335692458017	-1.52099694767549	-0.890815015664773	-1.27004381417067	-0.977653157258152	-1.63943744542981	-1.26765602537529	-1.85921697573446	-1.63485138554607	-1.39972970480551
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	3.15781268564986	3.32741051607978	3.16645968869715	3.14125750905677	2.93514256242007	3.42851140886241	3.25485322009107	3.21954642215861	2.79147620240339	2.90581794624155	2.78824160374154	2.76835295983384	2.87111635320764	2.99906821372801	2.68062861544185
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides gallinarum	-1.20354731221546	-0.959252745885701	-1.18562306960366	-2.88138265551966	-2.09464155051495	-1.42009503170765	-1.15327216755018	-1.46617916056833	-1.64473726361208	-2.66405211082838	-1.75066308054003	-2.57559843657936	-1.16606979517451	-1.41170783423186	-1.58205126159947
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis	3.43850986357969	3.51663233835932	3.46452048202716	3.27347543849676	3.68548449072859	4.08192819226212	3.58225128925609	3.71996440908783	3.72674607310354	3.4474152286743	3.21464662902896	3.26709169631625	3.06561832855847	2.35721432755561	2.72740468023958
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides massiliensis	0.0706297507837204	0.146426710005501	0.0841374752602777	-0.00970303063564745	-0.336783632962576	0.350611028322573	0.121230787581598	0.297409431693024	0.388184262432866	0.0703153985912032	-0.0952400548641091	-0.104505215569612	0.0866931733208554	0.128737206715291	0.0273866508346348
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides mediterraneensis	-1.80968311578578	-2.03681162535598	-1.57128555041565	-1.41504558672623	-3.70407946294905	-1.89009866095339	-2.01347343277329	-1.79160156100296	-2.25087306718239	-1.97090493026843	-1.87582622349404	-2.65060092460033	-1.85921697573446	-1.28654469127785	-2.09287688536546
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii	-2.62061333200211	-4.11625316703581	-3.30588660580375	-3.28684776362782	-4.02535811353106	-2.80638939282754	-3.02507434445177	-2.7471130060304	-2.65633817529056	-3.92352994604936	-3.48526413592814	-2.55737312682323	-2.62325233300126	-2.32799856610601	-2.85793906668948
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides oleiciplenus	-0.871413477192849	-0.5752938429985	-0.690926827767554	-0.935472506464346	-1.75816931389374	-0.825387923960957	-0.945632802771931	-0.386259004912378	-0.998110098687025	-1.38311826536632	-1.08736886312977	-1.08533446858134	-0.655244171408522	-1.02871558197575	-1.58205126159947
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	3.32709523315083	3.61677344543331	3.05714149773671	3.13477450417869	2.67858222046939	3.32646620372239	3.24874561360227	3.31294433254319	3.0323306615556	3.0423934812473	2.90832661802249	2.74330692790776	2.95296737963796	3.2001068944749	2.85351614000245
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides plebeius	0.578059785548573	0.720028739915664	0.558345735788045	0.163139782203763	0.78455690678309	1.03842486290716	0.392652339161599	0.570702766692705	0.339394098263434	0.180857272991027	0.0982548025279708	-1.26765602537529	0.0866931733208554	-0.335568401415807	-0.418900451793785
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salanitronis	-0.962385255398576	-0.858156629014332	-0.907991333005382	-2.03408479513246	-2.60546717428094	-1.10164130058912	-1.07916419539645	-0.667671464350563	-0.864578706062502	-1.22896758553906	-1.28803955859192	-1.26765602537529	-1.34839135196847	-1.2293862774379	-1.24557902497825
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae	-0.189195367165094	0.22755225481787	-0.533297883563971	0.0273382410447015	-0.547079041798937	-0.0495490275558986	-0.268233979180125	-0.229416533419408	-0.546124974943968	-0.444848626773386	-0.613584511044127	-0.574508844815348	-1.16606979517451	-0.900882210465867	-0.994264596697347
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sartorii	0.0448772546813058	0.246845457752549	0.382992848310184	0.178888139171903	-0.75964048378261	0.124804359588879	0.350805229226099	0.278178069765136	-0.546124974943968	0.00317609575357453	0.0312440922450106	-0.574508844815348	0.443368117259588	0.249689817132953	-0.552431844418308
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 1_1_30	2.1383503271654	2.32229816287115	1.90904915180523	1.84008798616459	1.76398067818608	2.26878442240629	2.25431501221075	2.45027844192768	2.352629061705	1.86639452896377	1.87132213874387	1.34241376736671	1.67689972382707	1.68236034004299	1.51804102727877
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 1_1_6	-0.245707577428437	-0.108919981803343	-0.0870107809355517	-0.68415807818344	-1.35270420578557	0.124804359588879	-0.46012498699023	-0.137043213288393	-0.405046376684062	-0.977653157258152	-1.00035748614014	-2.59714755397993	-1.16606979517451	-0.536239096877958	-1.24557902497825
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 2_1_33B	-0.962385255398576	-0.604707728204793	-0.715619440357926	-0.424646882698356	-1.26173242757985	-1.42009503170765	-0.350925695025238	-0.0660914773161084	-0.281432420716885	-0.747129498646319	-0.409489154700612	-0.93118378875408	-1.16606979517451	-0.593397510717907	-1.39972970480551
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 2_2_4	1.18604915776821	1.25902524064835	0.793998136793964	0.982849686072138	0.381896849602534	1.02767207113089	0.676227629660727	1.30640956167145	0.761388508322809	0.570697063196111	0.625609728245172	0.649266586806768	1.43661989026987	1.32265967518773	0.209708207628589
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 3_1_13	1.78458036195331	2.27566394635679	1.24799028579679	1.66191212675034	1.09583479983155	1.76055958034035	1.59251836153488	1.74824231395049	1.60634170175076	1.21544770289421	1.02559537058871	0.884106177884169	1.37290407588376	1.40967105217735	0.982898095862071
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 3_1_19	-0.146177982081404	-0.0909014763006648	0.117289682577178	0.114349618034331	-0.659557025225627	0.09777568720096	0.350805229226099	0.379647529929996	0.0178104741359715	-0.284505976698206	0.313963375354663	-0.479198665011023	-1.01191911534725	-0.076706767499518	-0.483438972931356
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 3_1_23	1.31610228601641	1.35601750663566	1.13676465068656	1.03728489262715	1.04951072815731	1.64504669321851	1.34753306830562	1.38324199371473	1.00722347083909	1.15145999421892	0.921455111336114	1.31256080421703	0.803370851290995	1.14810012372926	0.815844011198905
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 3_1_33FAA	0.290377713096792	0.615549669885643	0.788457956418348	0.296671174828286	-0.526025632601104	0.489447473176788	0.537391184806511	0.858384839144486	0.288100803875883	0.301220955240902	0.357765998013055	0.381002600212089	-0.124615920346352	0.412841457819188	-0.0559949581044163
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 3_1_40A	0.0790686194295851	0.278195987636625	0.423814842830439	0.3240701490164	-0.106767202360604	0.261663542306077	0.333563422791593	0.693305088785037	0.191473968186812	-0.322246304681053	-0.0620878475472086	-0.238036608194135	0.133213188955748	0.262268599339814	-0.35827582997735
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 4_1_36	1.96052027615774	2.37750067281587	2.02198956298583	2.28149674013327	1.70756658890599	2.41935728088566	2.29304564939245	2.14473875207589	1.70357065412971	2.00690581569771	1.74406035913295	2.23489385054715	1.97664466872812	2.18469076708791	1.71378560440486
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 4_3_47FAA	0.890932106828912	0.97134316819657	1.1676551377059	1.00361167752057	-0.20757190148257	0.948979802555229	0.945217569100355	1.31333000451602	0.675866334884647	0.601707299938671	0.597907125695836	0.341781887058807	0.507906638397159	0.942836997692899	0.47207247209608
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 9_1_42FAA	0.849021211213276	1.12018879579413	1.18274976392839	0.872035319731848	0.177484334994387	0.817951540148825	1.01797692338278	1.34389265492619	0.840169386175923	0.631784755175949	0.849845578957991	0.556893266675753	0.625689674053542	0.792896850401984	0.47207247209608
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. AR20	-4.13812096181536	-4.61346628898409	-4.05828745482872	-4.01119586943356	-3.70407946294905	-3.49953657338749	-4.06816611532809	-3.8162782629627	-3.62256535449278	-3.58034284270254	-4.11849720567619	-2.90773552758841	-3.10797011947762	-3.9462582729395	-3.26347776761914
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. D2	-0.343346046992353	-0.0909014763006648	-0.715619440357926	-0.578797562525614	-1.06502213333379	-0.66632322933127	-1.0101713239095	-0.166896176438074	-0.746795670406119	-0.941285513087277	-0.972958511952024	-0.93118378875408	-0.392879906941031	-0.482171875607682	-1.58205126159947
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. D20	0.829374213829479	1.13077090512467	0.826609722382725	0.968764946190399	0.558600414092265	1.14003503931794	0.982258840780704	0.906139270440386	0.176875168765659	0.8324554506381	0.392857317824326	0.811785516304543	1.06752242633258	1.01014067958901	0.615173315736754
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. D22	1.06199650909823	1.33478528652989	0.485850233749892	0.939985981640356	0.364947291288761	0.954810722866022	1.09396283036071	1.28889597917874	1.13351719616338	0.844503789154274	0.51599000322795	-0.104505215569612	0.507906638397159	0.505214777950203	0.274246728766161
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. HMSC067B03	-0.639611863135525	-0.343492228941176	-0.0870107809355517	-0.612699114201295	-1.02993081352252	-0.364042357458336	-0.441076792019536	-0.0660914773161084	-0.608645331925302	-0.941285513087277	-0.5585247338611	-0.93118378875408	-0.878387722722732	-0.482171875607682	-0.793593901235195
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. HMSC068A09	-1.44195833566046	-1.2830398229796	-2.00660362167349	-2.03408479513246	-2.78778873107489	-1.19695148039344	-1.7723113759564	-1.79160156100296	-1.55772588662245	-2.32757987420717	-2.50443488291641	-1.77848164914128	-2.70587080274562	-2.32799856610601	-2.49834199347362
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. HMSC073E02	0.665921141339907	0.853560132540187	0.565314405104138	0.604972534482803	0.187740835161577	0.68251356925372	0.781588145318553	0.971325250325082	0.521715655057388	0.157326775580833	0.491297390637578	0.556893266675753	0.300267273618914	0.607629783378272	0.392029764422544
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. HPS0048	-4.51071431991085	-4.261851196007	-4.05595295304095	-3.70590448847205	-4.52454886924604	-3.65783582745339	-3.71822152501171	-4.03213645357204	-4.05465414556759	-4.02441459208344	-4.1218394765478	-2.76300781463422	-2.66648261101724	-3.61726031822087	-3.0501652461043
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. Marseille-P2653	-0.962385255398576	-0.766349079761209	-1.46005991530542	-1.34093761457251	-1.56401329945278	-0.726947851147705	-0.977381501086511	-0.692989272334853	-1.27004381417067	-1.32905104409604	-1.4058225942483	-2.18394675724945	-1.85921697573446	-1.07523559761065	-2.09287688536546
